INFO, 2024-12-05 14:11:18.545, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:20.076, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:20.862, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:21.568, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:22.731, GETCurrentDayDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:23.766, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:24.317, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:24.947, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:25.298, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:25.429, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:25.578, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:25.715, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:25.841, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:25.977, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:26.110, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:26.254, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:31.024, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:37.984, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:40.813, GETCurrentDayDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:49.975, GETCurrentDayDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:55.794, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:56.884, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:58.792, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:12:11.781, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:12:21.842, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:12:53.189, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:13:28.761, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
